entity,country_code,extra_info
UTK,MH,"{""city"": ""Utirik Island"", ""airport_name"": ""Utirik Airport""}"
OCA,US,"{""city"": ""Key Largo"", ""airport_name"": ""Ocean Reef Club Airport""}"
CUX,US,"{""city"": ""Corpus Christi"", ""airport_name"": ""Cuddihy Field""}"
CSE,US,"{""city"": ""Crested Butte"", ""airport_name"": ""Crested Butte Airpark""}"
CUS,US,"{""city"": ""Columbus"", ""airport_name"": ""Columbus Airport""}"
JCY,US,"{""city"": ""Stonewall"", ""airport_name"": ""LBJ Ranch Airport""}"
WLR,US,"{""city"": ""Loring"", ""airport_name"": ""Loring Seaplane Base""}"
NUP,US,"{""city"": ""Nunapitchuk"", ""airport_name"": ""Nunapitchuk Airport""}"
PTC,US,"{""city"": ""Port Alice"", ""airport_name"": ""Port Alice Seaplane Base""}"
ICY,US,"{""city"": ""Icy Bay"", ""airport_name"": ""Icy Bay Airport""}"
PPV,US,"{""city"": ""Port Protection"", ""airport_name"": ""Port Protection Seaplane Base""}"
KKK,US,"{""city"": ""Kalakaket Creek"", ""airport_name"": ""Kalakaket Creek AS Airport""}"
MHS,US,"{""city"": ""Dunsmuir"", ""airport_name"": ""Dunsmuir Muni-Mott Airport""}"
NIR,US,"{""city"": ""Beeville"", ""airport_name"": ""Chase Field Industrial Airport""}"
GCT,US,"{""city"": ""Littlefield"", ""airport_name"": ""Grand Canyon Bar Ten Airstrip""}"
ELW,US,"{""city"": ""Ellamar"", ""airport_name"": ""Ellamar Seaplane Base""}"
LVD,US,"{""city"": ""Lime Village"", ""airport_name"": ""Lime Village Airport""}"
HGZ,US,"{""city"": ""Hogatza"", ""airport_name"": ""Hog River Airport""}"
OTN,US,"{""city"": ""Oaktown"", ""airport_name"": ""Ed-Air Airport""}"
TLF,US,"{""city"": ""Telida"", ""airport_name"": ""Telida Airport""}"
BZT,US,"{""city"": ""Brazoria"", ""airport_name"": ""Eagle Air Park""}"
HBH,US,"{""city"": ""Entrance Island"", ""airport_name"": ""Entrance Island Seaplane Base""}"
FAK,US,"{""city"": ""False Island"", ""airport_name"": ""False Island Seaplane Base""}"
BYW,US,"{""city"": ""Blakely Island"", ""airport_name"": ""Blakely Island Airport""}"
DRF,US,"{""city"": ""Kenai"", ""airport_name"": ""Drift River Airport""}"
BDF,US,"{""city"": ""Bradford"", ""airport_name"": ""Rinkenberger Restricted Landing Area""}"
TEH,US,"{""city"": ""Tetlin"", ""airport_name"": ""Tetlin Airport""}"
VRS,US,"{""city"": ""Versailles"", ""airport_name"": ""Roy Otten Memorial Airfield""}"
GDH,US,"{""city"": ""Golden Horn Lodge"", ""airport_name"": ""Golden Horn Lodge Seaplane Base""}"
ATT,US,"{""city"": ""Atmautluak"", ""airport_name"": ""Atmautluak Airport""}"
LIV,US,"{""city"": ""Livengood"", ""airport_name"": ""Livengood Camp Airport""}"
PDB,US,"{""city"": ""Pedro Bay"", ""airport_name"": ""Pedro Bay Airport""}"
KOZ,US,"{""city"": ""Ouzinkie"", ""airport_name"": ""Ouzinkie Airport""}"
TNK,US,"{""city"": ""Tununak"", ""airport_name"": ""Tununak Airport""}"
WHD,US,"{""city"": ""Hyder"", ""airport_name"": ""Hyder Seaplane Base""}"
MNT,US,"{""city"": ""Minto"", ""airport_name"": ""Minto Al Wright Airport""}"
TKI,US,"{""city"": ""Tokeen"", ""airport_name"": ""Tokeen Seaplane Base""}"
WKK,US,"{""city"": ""Aleknagik"", ""airport_name"": ""Aleknagik / New Airport""}"
WFB,US,"{""city"": ""Ketchikan"", ""airport_name"": ""Ketchikan Harbor Seaplane Base""}"
RFK,US,"{""city"": ""Rolling Fork"", ""airport_name"": ""Rollang Field""}"
NNK,US,"{""city"": ""Naknek"", ""airport_name"": ""Naknek Airport""}"
BKF,US,"{""city"": ""Katmai National Park"", ""airport_name"": ""Lake Brooks Seaplane Base""}"
BCS,US,"{""city"": ""Belle Chasse"", ""airport_name"": ""Southern Seaplane Airport""}"
MMN,US,"{""city"": ""Stow"", ""airport_name"": ""Minute Man Air Field""}"
SPQ,US,"{""city"": ""San Pedro"", ""airport_name"": ""Catalina Air-Sea Terminal Heliport""}"
TSS,US,"{""city"": ""New York"", ""airport_name"": ""East 34th Street Heliport""}"
NYS,US,"{""city"": ""New York"", ""airport_name"": ""New York Skyports Inc Seaplane Base""}"
BWL,US,"{""city"": ""Blackwell"", ""airport_name"": ""Earl Henry Airport""}"
WYB,US,"{""city"": ""Yes Bay"", ""airport_name"": ""Yes Bay Lodge Seaplane Base""}"
CWS,US,"{""city"": ""Center Island"", ""airport_name"": ""Center Island Airport""}"
TEK,US,"{""city"": ""Tatitlek"", ""airport_name"": ""Tatitlek Airport""}"
DUF,US,"{""city"": ""Corolla"", ""airport_name"": ""Pine Island Airport""}"
SSW,US,"{""city"": ""Friday Harbor"", ""airport_name"": ""Stuart Island Airpark""}"
FOB,US,"{""city"": ""Fort Bragg"", ""airport_name"": ""Fort Bragg Airport""}"
PUL,US,"{""city"": ""Poulsbo"", ""airport_name"": ""Port of Poulsbo Marina Moorage Seaplane Base""}"
CCD,US,"{""city"": ""Los Angeles"", ""airport_name"": ""Century City Heliport""}"
WMK,US,"{""city"": ""Meyers Chuck"", ""airport_name"": ""Meyers Chuck Seaplane Base""}"
AXB,US,"{""city"": ""Alexandria Bay"", ""airport_name"": ""Maxson Airfield""}"
REE,US,"{""city"": ""Lubbock"", ""airport_name"": ""Reese Airpark""}"
WDN,US,"{""city"": ""Eastsound"", ""airport_name"": ""Waldron Airstrip""}"
WWP,US,"{""city"": ""Whale Pass"", ""airport_name"": ""Whale Pass Seaplane Float Harbor Facility""}"
CHU,US,"{""city"": ""Chuathbaluk"", ""airport_name"": ""Chuathbaluk Airport""}"
UGS,US,"{""city"": ""Ugashik"", ""airport_name"": ""Ugashik Airport""}"
JID,US,"{""city"": ""City of Industry"", ""airport_name"": ""Recreation and Conference Center Heliport""}"
PSQ,US,"{""city"": ""Essington"", ""airport_name"": ""Philadelphia Seaplane Base""}"
KLL,US,"{""city"": ""Levelock"", ""airport_name"": ""Levelock Airport""}"
SGW,US,"{""city"": ""Saginaw Bay"", ""airport_name"": ""Saginaw Seaplane Base""}"
WTL,US,"{""city"": ""Tuntutuliak"", ""airport_name"": ""Tuntutuliak Airport""}"
TWA,US,"{""city"": ""Twin Hills"", ""airport_name"": ""Twin Hills Airport""}"
KCQ,US,"{""city"": ""Chignik Lake"", ""airport_name"": ""Chignik Lake Airport""}"
AAD,SO,"{""city"": ""Adado"", ""airport_name"": ""Adado Airport""}"
ABP,PG,"{""city"": ""Atkamba Mission"", ""airport_name"": ""Atkamba Airport""}"
ACM,CO,"{""city"": ""Arica"", ""airport_name"": ""Arica Airport""}"
ADV,SD,"{""city"": ""El Daein"", ""airport_name"": ""El Daein Airport""}"
AEE,SS,"{""city"": ""Adar"", ""airport_name"": ""Adareil Airport""}"
AEQ,CN,"{""city"": ""Chifeng"", ""airport_name"": ""Ar Horqin Airport""}"
AFK,LK,"{""city"": ""Ampara"", ""airport_name"": ""Kondavattavana Tank Seaplane Base""}"
AFT,SB,"{""city"": ""Bila"", ""airport_name"": ""Afutara Aerodrome""}"
RNA,SB,"{""city"": ""Arona"", ""airport_name"": ""Ulawa Airport""}"
ATD,SB,"{""city"": ""Atoifi"", ""airport_name"": ""Uru Harbour Airport""}"
VEV,SB,"{""city"": ""Barakoma"", ""airport_name"": ""Barakoma Airport""}"
BPF,SB,"{""city"": ""Batuna Mission Station"", ""airport_name"": ""Batuna Aerodrome""}"
GEF,SB,"{""city"": ""Liangia"", ""airport_name"": ""Geva Airport""}"
AGG,PG,"{""city"": ""Angoram"", ""airport_name"": ""Angoram Airport""}"
AKS,SB,"{""city"": ""Auki"", ""airport_name"": ""Gwaunaru'u Airport""}"
BNY,SB,"{""city"": ""Anua"", ""airport_name"": ""Bellona/Anua Airport""}"
CHY,SB,"{""city"": ""Choiseul Bay"", ""airport_name"": ""Choiseul Bay Airport""}"
BAS,SB,"{""city"": ""Ballalae"", ""airport_name"": ""Ballalae Airport""}"
FRE,SB,"{""city"": ""Fera Island"", ""airport_name"": ""Fera/Maringe Airport""}"
HIR,SB,"{""city"": ""Honiara"", ""airport_name"": ""Honiara International Airport""}"
MBU,SB,"{""city"": ""Mbambanakira"", ""airport_name"": ""Babanakira Airport""}"
AVU,SB,"{""city"": ""Avu Avu"", ""airport_name"": ""Avu Avu Airport""}"
