entity,country_code
schanghai,CN
shanghai,CN
shanghái,CN
szanghaj,CN
thượng hải,CN
xangai,CN
शंघाई,CN
เซี่ยงไฮ้,CN
上海,CN
상하이,CN
beijing,CN
bắc kinh,CN
pechino,CN
pekin,CN
peking,CN
pekín,CN
pequim,CN
pékin,CN
बीजिंग,CN
ปักกิ่ง,CN
北京,CN
북경,CN
베이징,CN
shenzhen,CN
thâm quyến,CN
शेनझेन,CN
เชินเจิ้น,CN
深圳,CN
선전,CN
canton,CN
cantão,CN
cantón,CN
guangzhou,CN
kanton,CN
quảng châu,CN
ग्वांगझोउ,CN
กว่างโจว,CN
广州,CN
広州,CN
광저우,CN
kinshasa,CD
kinszasa,CD
किंशासा,CD
กินชาซา,CD
キンシャサ,CD
金沙萨,CD
킨샤사,CD
lagos,NG
लागोस,NG
เลกอส,NG
ラゴス,NG
拉各斯,NG
라고스,NG
estambul,TR
istambul,TR
istanbul,TR
stambuł,TR
इस्तांबुल,TR
อิสตันบูล,TR
イスタンブール,TR
伊斯坦布尔,TR
이스탄불,TR
chengdu,CN
chengdú,CN
thành đô,CN
चेंगदू,CN
เฉิงตู,CN
チェンドゥ,CN
成都,CN
청두,CN
lahaur,PK
lahore,PK
लाहौर,PK
ลาฮอร์,PK
ラホール,PK
拉合尔,PK
라호르,PK
bombaim,IN
bombay,IN
mumbai,IN
mumbaj,IN
मुंबई,IN
มุมไบ,IN
ムンバイ,IN
孟买,IN
뭄바이,IN
san paolo,BR
sao paulo,BR
são paulo,BR
साओ पाउलो,BR
เซาเปาลู,BR
サンパウロ,BR
圣保罗,BR
상파울루,BR
cidade do méxico,MX
città del messico,MX
ciudad de méxico,MX
meksyk,MX
mexico,MX
mexico city,MX
mexiko-stadt,MX
thành phố méxico,MX
मेक्सिको नगर,MX
เม็กซิโกซิตี,MX
メキシコシティ,MX
墨西哥城,MX
멕시코시티,MX
carachi,PK
karachi,PK
karaczi,PK
karatschi,PK
कराची,PK
การาจี,PK
カラチ,PK
卡拉奇,PK
카라치,PK
thiên tân,CN
tianjin,CN
tianjín,CN
tiencin,CN
tientsin,CN
तियानजिन,CN
เทียนจิน,CN
天津,CN
천진,CN
delhi,IN
deli,IN
दिल्ली,IN
เดลี,IN
デリー,IN
德里,IN
델리,IN
vũ hán,CN
wuhan,CN
वुहान,CN
อู่ฮั่น,CN
武汉,CN
武漢,CN
우한,CN
mosca,RU
moscou,RU
moscow,RU
moscú,RU
moskau,RU
moskva,RU
moskwa,RU
मॉस्को,RU
มอสโก,RU
モスクワ,RU
莫斯科,RU
모스크바,RU
daca,BD
dacca,BD
dhaka,BD
ढाका,BD
ธากา,BD
ダッカ,BD
达卡,BD
다카,BD
seoul,KR
seul,KR
seúl,KR
séoul,KR
सियोल,KR
โซล,KR
ソウル,KR
首尔,KR
서울,KR
tokio,JP
tokyo,JP
tóquio,JP
टोक्यो,JP
โตเกียว,JP
