entity,extra_info
Apple Butter,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Beaver Tail Stew,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Beef Brisket,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Beef Manhattan,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Beef On Weck,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Blt,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Bologna Sandwich,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Boucherie,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Boudin,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Brown Bobby,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Bull Roast,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Butter Pecan Cake,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Calabash-Style Seafood,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Cayenne Peppers,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Cheese Dream,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""American""}"
Cheese Grits,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""American""}"
Cheesesteak,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chicken And Dumplings,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chicken Fried Steak,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
Chicken Gizzards Fried,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""American""}"
