entity,country_code,extra_info
cannes,FR,"{""category"": ""city""}"
mont saint-michel,FR,"{""category"": ""town""}"
avignon,FR,"{""category"": ""city""}"
lourdes,FR,"{""category"": ""town""}"
corsica,FR,"{""category"": ""island""}"
chamonix,FR,"{""category"": ""town""}"
saint-tropez,FR,"{""category"": ""town""}"
annecy,FR,"{""category"": ""city""}"
colmar,FR,"{""category"": ""city""}"
biarritz,FR,"{""category"": ""city""}"
carcassonne,FR,"{""category"": ""city""}"
versailles,FR,"{""category"": ""city""}"
antibes,FR,"{""category"": ""city""}"
la rochelle,FR,"{""category"": ""city""}"
saint-malo,FR,"{""category"": ""city""}"
menton,FR,"{""category"": ""city""}"
honfleur,FR,"{""category"": ""town""}"
arles,FR,"{""category"": ""city""}"
èze,FR,"{""category"": ""town""}"
porquerolles,FR,"{""category"": ""island""}"
giverny,FR,"{""category"": ""town""}"
sète,FR,"{""category"": ""city""}"
grasse,FR,"{""category"": ""city""}"
chartres,FR,"{""category"": ""city""}"
île de ré,FR,"{""category"": ""island""}"
deauville,FR,"{""category"": ""town""}"
île d'oléron,FR,"{""category"": ""island""}"
belle-île-en-mer,FR,"{""category"": ""island""}"
saint-paul-de-vence,FR,"{""category"": ""town""}"
mallorca,ES,"{""category"": ""island""}"
ibiza,ES,"{""category"": ""island""}"
tenerife,ES,"{""category"": ""island""}"
gran canaria,ES,"{""category"": ""island""}"
toledo,ES,"{""category"": ""city""}"
benidorm,ES,"{""category"": ""town""}"
santiago de compostela,ES,"{""category"": ""city""}"
fuerteventura,ES,"{""category"": ""island""}"
lanzarote,ES,"{""category"": ""island""}"
menorca,ES,"{""category"": ""island""}"
formentera,ES,"{""category"": ""island""}"
segovia,ES,"{""category"": ""city""}"
ronda,ES,"{""category"": ""town""}"
la palma,ES,"{""category"": ""island""}"
sitges,ES,"{""category"": ""town""}"
avila,ES,"{""category"": ""city""}"
girona,ES,"{""category"": ""city""}"
cuenca,ES,"{""category"": ""city""}"
nerja,ES,"{""category"": ""town""}"
lloret de mar,ES,"{""category"": ""town""}"
torremolinos,ES,"{""category"": ""town""}"
salou,ES,"{""category"": ""town""}"
el hierro,ES,"{""category"": ""island""}"
la gomera,ES,"{""category"": ""island""}"
fuengirola,ES,"{""category"": ""town""}"
washington d.c.,US,"{""category"": ""city""}"
hawaii (big island),US,"{""category"": ""island""}"
maui,US,"{""category"": ""island""}"
oahu,US,"{""category"": ""island""}"
sedona,US,"{""category"": ""town""}"
santa fe,US,"{""category"": ""city""}"
key west,US,"{""category"": ""island""}"
napa valley,US,"{""category"": ""town""}"
kauai,US,"{""category"": ""island""}"
martha's vineyard,US,"{""category"": ""island""}"
nantucket,US,"{""category"": ""island""}"
aspen,US,"{""category"": ""town""}"
st. augustine,US,"{""category"": ""city""}"
santa barbara,US,"{""category"": ""city""}"
santa monica,US,"{""category"": ""city""}"
hilton head island,US,"{""category"": ""island""}"
molokai,US,"{""category"": ""island""}"
mackinac island,US,"{""category"": ""island""}"
venice,IT,"{""category"": ""city""}"
capri,IT,"{""category"": ""island""}"
amalfi,IT,"{""category"": ""town""}"
positano,IT,"{""category"": ""town""}"
cinque terre,IT,"{""category"": ""town""}"
sorrento,IT,"{""category"": ""town""}"
siena,IT,"{""category"": ""city""}"
sicily,IT,"{""category"": ""island""}"
sardinia,IT,"{""category"": ""island""}"
lake como,IT,"{""category"": ""town""}"
taormina,IT,"{""category"": ""town""}"
pompeii,IT,"{""category"": ""town""}"
lucca,IT,"{""category"": ""city""}"
san gimignano,IT,"{""category"": ""town""}"
ravenna,IT,"{""category"": ""city""}"
ischia,IT,"{""category"": ""island""}"
procida,IT,"{""category"": ""island""}"
lecce,IT,"{""category"": ""city""}"
orvieto,IT,"{""category"": ""town""}"
assisi,IT,"{""category"": ""town""}"
elba,IT,"{""category"": ""island""}"
portofino,IT,"{""category"": ""town""}"
matera,IT,"{""category"": ""city""}"
alberobello,IT,"{""category"": ""town""}"
cortona,IT,"{""category"": ""town""}"
bellagio,IT,"{""category"": ""town""}"
varenna,IT,"{""category"": ""town""}"
mantua,IT,"{""category"": ""city""}"
bodrum,TR,"{""category"": ""town""}"
fethiye,TR,"{""category"": ""town""}"
marmaris,TR,"{""category"": ""town""}"
pamukkale,TR,"{""category"": ""town""}"
kusadasi,TR,"{""category"": ""town""}"
side,TR,"{""category"": ""town""}"
kemer,TR,"{""category"": ""town""}"
ölüdeniz,TR,"{""category"": ""town""}"
ephesus,TR,"{""category"": ""town""}"
göreme,TR,"{""category"": ""town""}"
büyükada,TR,"{""category"": ""island""}"
çeşme,TR,"{""category"": ""town""}"
dalyan,TR,"{""category"": ""town""}"
kas,TR,"{""category"": ""town""}"
belek,TR,"{""category"": ""town""}"
bozcaada,TR,"{""category"": ""island""}"
kalkan,TR,"{""category"": ""town""}"
didim,TR,"{""category"": ""town""}"
ürgüp,TR,"{""category"": ""town""}"
safranbolu,TR,"{""category"": ""town""}"
gökçeada,TR,"{""category"": ""island""}"
bergama,TR,"{""category"": ""town""}"
kaş,TR,"{""category"": ""town""}"
dalaman,TR,"{""category"": ""town""}"
datça,TR,"{""category"": ""town""}"
olympos,TR,"{""category"": ""town""}"
selçuk,TR,"{""category"": ""town""}"
uludağ,TR,"{""category"": ""town""}"
akyaka,TR,"{""category"": ""town""}"
ayvalik,TR,"{""category"": ""town""}"
tulum,MX,"{""category"": ""town""}"
los cabos,MX,"{""category"": ""city""}"
cozumel,MX,"{""category"": ""island""}"
acapulco,MX,"{""category"": ""city""}"
oaxaca city,MX,"{""category"": ""city""}"
isla mujeres,MX,"{""category"": ""island""}"
san miguel de allende,MX,"{""category"": ""city""}"
guanajuato,MX,"{""category"": ""city""}"
cabo san lucas,MX,"{""category"": ""city""}"
chichen itza,MX,"{""category"": ""town""}"
ixtapa,MX,"{""category"": ""town""}"
zihuatanejo,MX,"{""category"": ""town""}"
huatulco,MX,"{""category"": ""town""}"
puerto escondido,MX,"{""category"": ""town""}"
holbox,MX,"{""category"": ""island""}"
querétaro,MX,"{""category"": ""city""}"
león,MX,"{""category"": ""city""}"
sayulita,MX,"{""category"": ""town""}"
puerto morelos,MX,"{""category"": ""town""}"
isla holbox,MX,"{""category"": ""island""}"
bacalar,MX,"{""category"": ""town""}"
valladolid,MX,"{""category"": ""city""}"
teotihuacan,MX,"{""category"": ""town""}"
palenque,MX,"{""category"": ""town""}"
isla contoy,MX,"{""category"": ""island""}"
todos santos,MX,"{""category"": ""town""}"
taxco,MX,"{""category"": ""town""}"
san josé del cabo,MX,"{""category"": ""city""}"
rosarito,MX,"{""category"": ""town""}"
isla marietas,MX,"{""category"": ""island""}"
tequila,MX,"{""category"": ""town""}"
isle of skye,GB,"{""category"": ""island""}"
stonehenge,GB,"{""category"": ""town""}"
stratford-upon-avon,GB,"{""category"": ""town""}"
lake district,GB,"{""category"": ""town""}"
isle of wight,GB,"{""category"": ""island""}"
cornwall,GB,"{""category"": ""town""}"
windsor,GB,"{""category"": ""town""}"
canterbury,GB,"{""category"": ""city""}"
chester,GB,"{""category"": ""city""}"
inverness,GB,"{""category"": ""city""}"
durham,GB,"{""category"": ""city""}"
jersey,GB,"{""category"": ""island""}"
guernsey,GB,"{""category"": ""island""}"
snowdonia,GB,"{""category"": ""town""}"
isle of man,GB,"{""category"": ""island""}"
whitby,GB,"{""category"": ""town""}"
st andrews,GB,"{""category"": ""town""}"
llandudno,GB,"{""category"": ""town""}"
oban,GB,"{""category"": ""town""}"
fort william,GB,"{""category"": ""town""}"
scarborough,GB,"{""category"": ""town""}"
harrogate,GB,"{""category"": ""town""}"
winchester,GB,"{""category"": ""city""}"
frankfurt,DE,"{""category"": ""city""}"
rothenburg ob der tauber,DE,"{""category"": ""town""}"
rügen,DE,"{""category"": ""island""}"
neuschwanstein,DE,"{""category"": ""town""}"
sylt,DE,"{""category"": ""island""}"
baden-baden,DE,"{""category"": ""town""}"
bamberg,DE,"{""category"": ""city""}"
weimar,DE,"{""category"": ""city""}"
usedom,DE,"{""category"": ""island""}"
konstanz,DE,"{""category"": ""city""}"
garmisch-partenkirchen,DE,"{""category"": ""town""}"
lindau,DE,"{""category"": ""town""}"
görlitz,DE,"{""category"": ""city""}"
schwerin,DE,"{""category"": ""city""}"
quedlinburg,DE,"{""category"": ""town""}"
fehmarn,DE,"{""category"": ""island""}"
berchtesgaden,DE,"{""category"": ""town""}"
cochem,DE,"{""category"": ""town""}"
rüdesheim,DE,"{""category"": ""town""}"
füssen,DE,"{""category"": ""town""}"
santorini,GR,"{""category"": ""island""}"
mykonos,GR,"{""category"": ""island""}"
rhodes,GR,"{""category"": ""island""}"
crete,GR,"{""category"": ""island""}"
corfu,GR,"{""category"": ""island""}"
zakynthos,GR,"{""category"": ""island""}"
nafplio,GR,"{""category"": ""town""}"
delphi,GR,"{""category"": ""town""}"
meteora,GR,"{""category"": ""town""}"
kos,GR,"{""category"": ""island""}"
hydra,GR,"{""category"": ""island""}"
paros,GR,"{""category"": ""island""}"
naxos,GR,"{""category"": ""island""}"
olympia,GR,"{""category"": ""town""}"
chania,GR,"{""category"": ""city""}"
rethymno,GR,"{""category"": ""city""}"
skiathos,GR,"{""category"": ""island""}"
milos,GR,"{""category"": ""island""}"
patmos,GR,"{""category"": ""island""}"
spetses,GR,"{""category"": ""island""}"
skopelos,GR,"{""category"": ""island""}"
ios,GR,"{""category"": ""island""}"
kefalonia,GR,"{""category"": ""island""}"
lefkada,GR,"{""category"": ""island""}"
monemvasia,GR,"{""category"": ""town""}"
symi,GR,"{""category"": ""island""}"
ioannina,GR,"{""category"": ""city""}"
thassos,GR,"{""category"": ""island""}"
lesbos,GR,"{""category"": ""island""}"
samos,GR,"{""category"": ""island""}"
folegandros,GR,"{""category"": ""island""}"
chios,GR,"{""category"": ""island""}"
aegina,GR,"{""category"": ""island""}"
karpathos,GR,"{""category"": ""island""}"
kalamata,GR,"{""category"": ""city""}"
poros,GR,"{""category"": ""island""}"
kastellorizo,GR,"{""category"": ""island""}"
andros,GR,"{""category"": ""island""}"
astypalaia,GR,"{""category"": ""island""}"
volos,GR,"{""category"": ""city""}"
kavala,GR,"{""category"": ""city""}"
alonissos,GR,"{""category"": ""island""}"
parga,GR,"{""category"": ""town""}"
alexandroupoli,GR,"{""category"": ""city""}"
agios nikolaos,GR,"{""category"": ""town""}"
kastoria,GR,"{""category"": ""city""}"
hallstatt,AT,"{""category"": ""town""}"
st. anton am arlberg,AT,"{""category"": ""town""}"
zell am see,AT,"{""category"": ""town""}"
kitzbühel,AT,"{""category"": ""town""}"
bad gastein,AT,"{""category"": ""town""}"
sölden,AT,"{""category"": ""town""}"
mayrhofen,AT,"{""category"": ""town""}"
seefeld,AT,"{""category"": ""town""}"
bregenz,AT,"{""category"": ""city""}"
klagenfurt,AT,"{""category"": ""city""}"
wachau valley,AT,"{""category"": ""town""}"
st. wolfgang,AT,"{""category"": ""town""}"
melk,AT,"{""category"": ""town""}"
dürnstein,AT,"{""category"": ""town""}"
eisenstadt,AT,"{""category"": ""city""}"
st. gilgen,AT,"{""category"": ""town""}"
kaprun,AT,"{""category"": ""town""}"
lech,AT,"{""category"": ""town""}"
ischgl,AT,"{""category"": ""town""}"
baden bei wien,AT,"{""category"": ""town""}"
villach,AT,"{""category"": ""city""}"
gmunden,AT,"{""category"": ""town""}"
wiener neustadt,AT,"{""category"": ""city""}"
bad ischl,AT,"{""category"": ""town""}"
alpbach,AT,"{""category"": ""town""}"
krems,AT,"{""category"": ""town""}"
schladming,AT,"{""category"": ""town""}"
rust,AT,"{""category"": ""town""}"
dornbirn,AT,"{""category"": ""city""}"
kufstein,AT,"{""category"": ""town""}"
steyr,AT,"{""category"": ""city""}"
lienz,AT,"{""category"": ""town""}"
st. johann im pongau,AT,"{""category"": ""town""}"
kapfenberg,AT,"{""category"": ""town""}"
mondsee,AT,"{""category"": ""town""}"
feldkirch,AT,"{""category"": ""town""}"
wels,AT,"{""category"": ""city""}"
neusiedl am see,AT,"{""category"": ""town""}"
bludenz,AT,"{""category"": ""town""}"
st. pölten,AT,"{""category"": ""city""}"
millstatt,AT,"{""category"": ""town""}"
werfen,AT,"{""category"": ""town""}"
maria alm,AT,"{""category"": ""town""}"
kirchberg in tirol,AT,"{""category"": ""town""}"
obertauern,AT,"{""category"": ""town""}"
phuket,TH,"{""category"": ""island""}"
krabi,TH,"{""category"": ""town""}"
koh samui,TH,"{""category"": ""island""}"
koh phi phi,TH,"{""category"": ""island""}"
hua hin,TH,"{""category"": ""town""}"
koh phangan,TH,"{""category"": ""island""}"
ayutthaya,TH,"{""category"": ""city""}"
koh tao,TH,"{""category"": ""island""}"
pai,TH,"{""category"": ""town""}"
koh lanta,TH,"{""category"": ""island""}"
chiang rai,TH,"{""category"": ""city""}"
koh chang,TH,"{""category"": ""island""}"
sukhothai,TH,"{""category"": ""city""}"
ao nang,TH,"{""category"": ""town""}"
khao lak,TH,"{""category"": ""town""}"
koh lipe,TH,"{""category"": ""island""}"
railay,TH,"{""category"": ""town""}"
kanchanaburi,TH,"{""category"": ""city""}"
koh samet,TH,"{""category"": ""island""}"
khao sok,TH,"{""category"": ""town""}"
phang nga,TH,"{""category"": ""town""}"
koh kood,TH,"{""category"": ""island""}"
koh yao noi,TH,"{""category"": ""island""}"
koh yao yai,TH,"{""category"": ""island""}"
lopburi,TH,"{""category"": ""city""}"
cha-am,TH,"{""category"": ""town""}"
trat,TH,"{""category"": ""town""}"
phitsanulok,TH,"{""category"": ""city""}"
songkhla,TH,"{""category"": ""city""}"
chanthaburi,TH,"{""category"": ""city""}"
mae hong son,TH,"{""category"": ""town""}"
koh mak,TH,"{""category"": ""island""}"
similan islands,TH,"{""category"": ""island""}"
trang,TH,"{""category"": ""city""}"
phetchaburi,TH,"{""category"": ""city""}"
prachuap khiri khan,TH,"{""category"": ""town""}"
surin islands,TH,"{""category"": ""island""}"
koh si chang,TH,"{""category"": ""island""}"
tak,TH,"{""category"": ""city""}"
al khobar,SA,"{""category"": ""city""}"
al-ahsa,SA,"{""category"": ""city""}"
jubail,SA,"{""category"": ""city""}"
hail,SA,"{""category"": ""city""}"
al qatif,SA,"{""category"": ""city""}"
al bahah,SA,"{""category"": ""city""}"
unaizah,SA,"{""category"": ""city""}"
farasan islands,SA,"{""category"": ""island""}"
diriyah,SA,"{""category"": ""town""}"
al ula,SA,"{""category"": ""town""}"
dhahran,SA,"{""category"": ""city""}"
thuwal,SA,"{""category"": ""town""}"
tabouk,SA,"{""category"": ""city""}"
madain saleh,SA,"{""category"": ""town""}"
al-jouf,SA,"{""category"": ""city""}"
tayma,SA,"{""category"": ""town""}"
al majmaah,SA,"{""category"": ""city""}"
dawadmi,SA,"{""category"": ""city""}"
rabigh,SA,"{""category"": ""town""}"
turayf,SA,"{""category"": ""town""}"
khafji,SA,"{""category"": ""city""}"
shaqra,SA,"{""category"": ""town""}"
bisha,SA,"{""category"": ""city""}"
wadi al-dawasir,SA,"{""category"": ""city""}"
ras tanura,SA,"{""category"": ""city""}"
qatif,SA,"{""category"": ""city""}"
sharurah,SA,"{""category"": ""town""}"
thuqbah,SA,"{""category"": ""city""}"
tarut island,SA,"{""category"": ""island""}"
safwa,SA,"{""category"": ""city""}"
zulfi,SA,"{""category"": ""town""}"
al wakrah,SA,"{""category"": ""town""}"
nikko,JP,"{""category"": ""town""}"
hakone,JP,"{""category"": ""town""}"
miyajima,JP,"{""category"": ""island""}"
takayama,JP,"{""category"": ""city""}"
koya-san,JP,"{""category"": ""town""}"
kawaguchiko,JP,"{""category"": ""town""}"
ishigaki,JP,"{""category"": ""island""}"
yakushima,JP,"{""category"": ""island""}"
karuizawa,JP,"{""category"": ""town""}"
shikoku,JP,"{""category"": ""island""}"
hokkaido,JP,"{""category"": ""island""}"
kyushu,JP,"{""category"": ""island""}"
honshu,JP,"{""category"": ""island""}"
naoshima,JP,"{""category"": ""island""}"
shirakawa-go,JP,"{""category"": ""town""}"
sado,JP,"{""category"": ""island""}"
koyasan,JP,"{""category"": ""town""}"
penang,MY,"{""category"": ""island""}"
langkawi,MY,"{""category"": ""island""}"
melaka,MY,"{""category"": ""city""}"
cameron highlands,MY,"{""category"": ""town""}"
genting highlands,MY,"{""category"": ""town""}"
tioman island,MY,"{""category"": ""island""}"
perhentian islands,MY,"{""category"": ""island""}"
redang island,MY,"{""category"": ""island""}"
sipadan island,MY,"{""category"": ""island""}"
taman negara,MY,"{""category"": ""town""}"
mabul island,MY,"{""category"": ""island""}"
putrajaya,MY,"{""category"": ""city""}"
pangkor island,MY,"{""category"": ""island""}"
