entity,country_code,extra_info
롯데월드,KR,"{""category"": ""amusement_park""}"
Lotte World,KR,"{""category"": ""amusement_park""}"
서울어린이대공원,KR,"{""category"": ""amusement_park""}"
Seoul Children''s Grand Park,KR,"{""category"": ""amusement_park""}"
서울랜드,KR,"{""category"": ""amusement_park""}"
Seoul Land,KR,"{""category"": ""amusement_park""}"
마이랜드,KR,"{""category"": ""amusement_park""}"
Myland,KR,"{""category"": ""amusement_park""}"
월미짱랜드,KR,"{""category"": ""amusement_park""}"
Wolmizzang Land,KR,"{""category"": ""amusement_park""}"
두리랜드,KR,"{""category"": ""amusement_park""}"
Dooriland,KR,"{""category"": ""amusement_park""}"
꿈의동산 놀이공원,KR,"{""category"": ""amusement_park""}"
Dream Garden Amusement Park,KR,"{""category"": ""amusement_park""}"
에버랜드,KR,"{""category"": ""amusement_park""}"
Everland,KR,"{""category"": ""amusement_park""}"
하니랜드,KR,"{""category"": ""amusement_park""}"
Haniland,KR,"{""category"": ""amusement_park""}"
강촌테마랜드,KR,"{""category"": ""amusement_park""}"
Gangchon Theme Land,KR,"{""category"": ""amusement_park""}"
레고랜드 코리아 리조트,KR,"{""category"": ""amusement_park""}"
Legoland Korea Resort,KR,"{""category"": ""amusement_park""}"
육림랜드,KR,"{""category"": ""amusement_park""}"
Yuklim Land,KR,"{""category"": ""amusement_park""}"
대전오월드,KR,"{""category"": ""amusement_park""}"
Daejeon OWorld,KR,"{""category"": ""amusement_park""}"
금강하구둑놀이공원,KR,"{""category"": ""amusement_park""}"
Geumgang Estuary Bank Amusement Park,KR,"{""category"": ""amusement_park""}"
의림지파크랜드,KR,"{""category"": ""amusement_park""}"
Uirimji Parkland,KR,"{""category"": ""amusement_park""}"
광주패밀리랜드,KR,"{""category"": ""amusement_park""}"
Gwangju Family Land,KR,"{""category"": ""amusement_park""}"
남원랜드,KR,"{""category"": ""amusement_park""}"
Namwon Land,KR,"{""category"": ""amusement_park""}"
전주 드림랜드,KR,"{""category"": ""amusement_park""}"
Jeonju Dreamland,KR,"{""category"": ""amusement_park""}"
롯데월드 어드벤처 부산,KR,"{""category"": ""amusement_park""}"
Lotte World Adventure Busan,KR,"{""category"": ""amusement_park""}"
