category_id,Tear point
doc_qr_codes,1
doc_barcodes,1
doc_receipts,1
doc_business_cards,1
doc_credit_cards,1
doc_ids,1
doc_passports,1
doc_legal_documents,1
doc_books,1
doc_maps,1
doc_notes,1
doc_presentations,1
doc_other_documents,1
doc_documents,1
cruise_ships,7
warships,7
cargo_ships,0
ships,0
sailboats,7
canoes,7
kayaks,7
barges,0
fishing_boats,7
houseboats,7
rowboats,7
speedboats,0
boats,0
yachts,7
submarines,7
watercraft,0
ambulances,0
buses,0
sports_cars,0
trucks,0
vans,0
school_buses,0
police_cars,0
convertibles,0
suvs,0
rvs,0
trailers,0
limos,0
jeeps,0
vintage_cars,0
race_cars,0
go_karts,0
pickup_trucks,0
fire_trucks,0
cars,0
trains,0
motorcycles,0
forklifts,0
atvs,7
scooters,0
streetcars,0
snowmobiles,7
bulldozers,0
tricycles,0
monorails,7
unicycles,7
tractors,0
excavators,0
land_vehicle,0
jets,0
gliders,0
airplane,7
rockets,0
helicopters,7
parachutes,0
hot_air_balloons,7
aircraft,0
cable_cars,7
wagons,0
chairlifts,0
rickshaws,0
baby_carriages,0
vehicles,0
snowboarding,7
ice_skating,7
skiing,7
winter_sports,7
water_skiing,7
rafting,7
surfing,7
jet_skiing,7
windsurfing,7
water_polo,7
swimming,7
water_sports,7
polo,5
dressage,5
horseback_riding,5
roller_skating,5
tennis,5
rugby,5
cycling,5
basketball,5
volleyball,5
golf,5
badminton,5
soccer,5
baseball,5
paintball,5
bowling,5
boxing,5
rodeos,5
wrestling,5
archery,5
ping_pong,5
hockey,5
motorsports,5
gymnastics,5
sledding,5
bullfighting,5
athletics,5
racing,5
fencing,5
cricket,5
squash,5
billiards,5
sports,5
kitchens,0
wine_cellars,0
bathrooms,0
living_room,0
bedrooms,0
classrooms,0
dining_rooms,0
restrooms,0
hotel_rooms,0
ceilings,0
indoor_areas,0
rice_fields,0
orchards,0
farms,0
carousels,7
ferris_wheels,7
roller_coasters,7
attractions,7
vegetation,0
offices,0
art_galleries,9
pools,9
gardens,0
outdoors,0
parks,0
hospitals,9
street_scenes,0
graves,0
tunnels,0
courtyards,0
restaurants,11
ruins,0
balconies,0
vineyards,0
stadiums,11
fountains,0
libraries,0
wetlands,0
stages,0
playgrounds,0
alleys,0
monuments,0
karaoke,5
skyscrapers,0
airports,5
railway_stations,5
bakeries,0
museums,5
harbors,0
decks,0
golf_courses,0
theaters,5
bars,0
bonfires,7
skate_parks,0
dams,0
ice_rinks,5
tennis_courts,0
nightclubs,5
auditoriums,0
fairgrounds,7
escalators,0
stairs,0
elevators,0
villages,0
construction_sites,0
spas,5
supermarkets,0
eiffel_tower,0
pagodas,0
hallways,0
dog_houses,0
bus_stops,0
subways,0
garages,0
arcades,0
bleachers,0
porches,0
places,0
snow,13
storms,13
fog,13
lightning,13
thunderstorms,13
rain,13
tornados,13
snowstorms,13
weather,0
lakes,11
creeks,11
waterways,11
rivers,11
seas,11
beaches,11
waterfalls,11
bodies_of_water,11
night_skies,11
auroras,11
blue_skies,0
cloudy_skies,0
skies,0
mountains,0
forests,0
islands,0
cliffs,11
dunes,11
deserts,11
canyons,11
caves,11
hills,11
jungles,11
icebergs,11
glaciers,11
soil,11
volcanos,11
rainbows,11
sunrises_and_sunsets,13
lava,0
daylight,0
stars,0
valleys,0
autumn_forests,0
nebulas,0
nature_scenes,0
traffic_lights,0
spotlights,0
street_lights,0
neon_lights,0
lights,0
sidewalks,0
dirt_roads,0
railroads,0
driveways,0
crosswalks,0
roads,0
trails,0
paths,0
carnivals,0
parades,0
parades_and_festivals,0
city_vistas,0
night_scenes,0
storefronts,0
structures,0
sand_castles,0
backlit_images,0
black_and_white_pictures,0
agriculture,0
frost,0
underwater,0
sun,0
moon,0
walls,0
landscapes,0
floors,0
waves,0
rural_areas,0
cities,0
smoke,0
earth,0
horizons,0
bays,0
scenery,0
christmas_trees,13
pine_trees,0
palm_trees,0
bamboo,0
eucalyptus_trees,0
willow_trees,0
maple_trees,0
evergreens,0
oak_trees,0
sequoias,0
mangroves,0
bonsais,0
trees,0
sunflower_seeds,0
cashews,0
seeds,0
rosemary,0
basil,0
parsley,0
herbs,0
lotuses,0
poppies,0
daisies,0
roses,0
tulips,0
bouquets,0
orchids,0
lilies,0
lavenders,0
poinsettias,0
dandelions,0
cornflowers,0
sunflowers,0
petunias,0
wreaths,0
marigolds,0
carnations,0
chrysanthemums,0
daffodils,0
irises,0
hibiscuses,0
ginger_flowers,0
celandines,0
calla_lilies,0
gypsophilas,0
begonias,0
dahlias,0
delphiniums,0
tansies,0
limoniums,0
asteraceaes,0
flowers,0
branches,0
grass,0
seaweeds,0
mosses,0
shrubs,0
ivies,0
rhubarbs,0
leaves,0
money_plants,0
cactuses,0
ferns,0
clovers,0
holly,0
anthuriums,0
mistletoe,0
aloe_vera,0
valerians,0
jade_plants,0
asparagus_ferns,0
bellwort,0
heliconias,0
elephant_ear_plants,0
lucky_bamboo_plants,0
swiss_cheese_plants,0
tree_philodendrons,0
petals,0
plant_buds,0
cinnamon_sticks,0
roots,0
pollen,0
plants,0
clowns,0
ballet_dancers,0
jockeys,0
occupations,0
crowds,0
groups,0
babies,0
brides,5
children,0
grooms,5
adults,0
bridesmaids,5
person,0
people,0
knives,0
swords,0
cannons,0
bows,0
arrows,0
bullets,0
spears,0
guns,0
weapons,0
stuffed_animals,5
teddy_bears,5
puppets,5
dolls,5
chess_boards,5
poker_tables,5
roulette_tables,5
xiangqi,5
board_games,5
balloons,5
blocks,5
puzzles,5
dice,5
game_controllers,5
toy_cars,5
dominos,5
kites,5
toy_guns,5
trampolines,5
seesaws,5
fidget_spinners,5
lego,5
slides,5
rubiks_cubes,5
joysticks,5
toys,5
nail_polish,0
lipstick,0
perfume,0
makeup,0
microscopes,0
telescopes,0
binoculars,0
flashlights,0
headlights,0
weight_scales,0
compasses,0
shovels,0
hammers,0
screwdrivers,0
pliers,0
axes,0
saws,0
chainsaws,0
wrenches,0
ratchet_wrenches,0
crates,0
mallets,0
anvils,0
measuring_tapes,0
calipers,0
toolboxes,0
wheelbarrows,0
tripods,0
mousetraps,0
lawn_mowers,0
paddles,0
masts,0
watermills,0
sprinklers,0
fire_hydrants,0
fire_extinguishers,0
paintbrushes,0
tools,0
terrariums,0
ribbons,0
decorative_ornaments,0
ski_boots,5
ski_equipment,5
rackets,5
baseball_bats,5
dumbbells,5
treadmills,5
bicycles,5
helmets,5
barbells,5
surfboards,5
swim_fins,5
shuttlecocks,5
pool_tables,5
golf_balls,5
saddles,5
hurdles,0
dartboards,5
golf_clubs,5
bowling_pins,5
pucks,5
foosball_tables,5
scoreboards,5
ping_pong_paddles,5
yoga_mats,5
balls,5
punching_bags,5
sports_equipment,5
baths,0
toilets,0
sinks,0
toilet_seats,0
diapers,0
jacuzzis,0
showers,0
bathroom_fixtures,0
pencils,0
envelopes,0
pens,0
typewriters,0
calculators,0
whiteboards,0
scissors,0
clipboards,0
pins,0
clips,0
blackboards,0
chalk,0
office_supplies,0
ukuleles,5
banjos,5
harps,5
guitars,5
cellos,5
violins,5
sitars,5
string_instruments,5
bongo_drums,5
drums,5
trumpets,5
horns,5
trombones,5
saxophones,5
flutes,5
clarinets,5
harmonicas,5
wind_instruments,5
pianos,5
bells,5
xylophones,5
accordions,5
tambourines,5
concertinas,5
pipe_organs,5
musical_instruments,5
masks,0
medicine,0
stethoscopes,0
syringes,0
stretchers,0
crutches,0
canes,0
wheelchairs,0
medical_supplies,0
shot_glasses,0
mugs,0
coffee_cups,0
paper_cups,0
wine_glasses,0
beer_glasses,0
cups,0
spoons,0
forks,0
bowls,0
plates,0
chopsticks,0
bottles,0
dishes,0
jugs,0
decanters,0
glass_jars,0
straws,0
thermoses,0
tableware,0
grills,0
pans,0
cutting_boards,0
whisks,0
kettles,0
spatulas,0
ladles,0
kitchen_knives,0
graters,0
gas_stoves,0
funnels,0
rice_cookers,0
rolling_pins,0
food_steamers,0
pots,0
jars,0
kitchen_utensils,0
dishwashers,0
ovens,0
toasters,0
microwaves,0
stoves,0
blenders,0
fridges,0
juicers,0
kitchen_appliances,0
cutlery,0
kitchenware,0
clocks,0
curtains,0
fences,0
umbrellas,0
clothespins,0
pillows,0
yarn,0
hammocks,0
brooms,0
watering_cans,0
faucets,0
bedding,0
clotheslines,0
rakes,0
water_tanks,0
barbecue_grills,0
razors,0
towels,0
tissue,0
toilet_paper,0
carpets,0
blankets,0
napkins,0
soap,0
toothbrushes,0
sponges,0
combs,0
matches,0
lighters,0
lamps,0
candles,0
thermometers,0
thermostats,0
picture_frames,0
mops,0
easels,0
plugs,0
corkscrews,0
pincushions,0
mortar_and_pestles,0
needles,0
keys,0
baskets,0
buttons,0
ladders,0
fish_tanks,0
light_bulbs,0
household_goods,0
coffee_tables,0
dining_tables,0
tables,0
office_desks,0
writing_desks,0
computer_desks,0
desks,0
armchairs,0
benches,0
stools,0
swivel_chairs,0
folding_chairs,0
chairs,0
cribs,0
mattresses,0
canopy_beds,0
bunk_beds,0
beds,0
fireplaces,0
countertops,0
cabinets,0
couches,0
bookcases,0
chandeliers,0
closets,0
drawers,0
kitchen_sinks,0
antiques,0
showcases,0
portholes,0
furniture,0
crocs,0
high_heels,0
boots,0
running_shoes,0
slippers,0
sandals,0
snowshoes,0
ballet_flats,0
loafers,0
flip-flops,0
shoes,0
bras,0
bikinis,0
bathrobes,0
saris,0
burkas,0
hanbok,7
wedding_dresses,5
lab_coats,0
suits,0
robes,0
aprons,0
swimsuits,0
underwear,0
leggings,0
life_jackets,0
jerseys,0
leotards,0
wetsuits,0
safety_vests,0
military_uniforms,0
overalls,0
ponchos,0
kilts,0
other_clothes,0
peaked_caps,0
deerstalkers,0
berets,0
caps,0
safety_helmets,0
party_hats,0
sun_hats,0
beanies,0
bucket_hats,0
fedoras,0
hats,0
sunglasses,0
goggles,0
swim_goggles,0
glasses,0
jackets,0
raincoats,0
cloaks,0
vests,0
shirts,0
sweaters,0
hoodies,0
sleeveless_shirts,0
sweatshirts,0
coats,0
t-shirts,0
shorts,0
jeans,0
pants,0
sweat_pants,0
skirts,0
dresses,0
tuxedos,0
clothing,0
paper_bags,0
briefcases,0
luggage,0
sacks,0
backpacks,0
handbags,0
golf_bags,0
shopping_bags,0
bags,0
mittens,0
gloves,0
bow_ties,0
ties,0
scarves,0
bracelets,0
watches,0
rings,0
socks,0
earrings,0
jewelry,0
wallets,0
belts,0
necklaces,0
earmuffs,0
pacifiers,0
bibs,0
tiaras,0
crowns,0
brooches,0
handkerchiefs,0
pearl_necklaces,0
accessories,0
costumes,0
veils,0
armor,0
zippers,0
clothes_and_accessories,0
stereos,0
speakers,0
televisions,0
fans,0
record_players,0
vacuums,0
washing_machines,0
robot_vacuums,0
home_appliances,0
laptops,0
desktop_computers,0
computer_monitors,0
keyboards,0
computer_mice,0
computers,0
webcams,0
cameras,0
phones,0
tablets,0
printers,0
drones,0
earphones,0
headphones,0
microphones,0
megaphones,0
vr_headsets,0
cassettes,0
circuit_boards,0
screens,0
electronics,0
entrances,0
doors,0
cartons,0
vases,0
barrels,0
boxes,0
gift_boxes,0
containers,0
pipes,0
bricks,0
building_materials,0
tires,0
wheels,0
car_rims,0
steering_wheels,0
gears,0
car_seats,0
license_plates,0
rearview_mirrors,0
automotive_parts,0
engines,0
propellers,0
dials,0
wires,0
tachometers,0
machine_parts,0
atms,0
vending_machines,0
sewing_machines,0
machines,0
snowmen,0
statues,0
figurines,0
watercolor_paintings,0
oil_paintings,0
illustrations,0
street_art,0
origami,7
porcelain_art,7
canvas,0
art,0
coins,0
street_signs,0
signs,0
nests,0
solar_batteries,0
decorations,0
podiums,0
gas_masks,0
leashes,0
ropes,0
flags,0
flag_poles,0
poles,0
payphones,0
mailboxes,0
hookahs,0
windows,0
mirrors,0
lanterns,0
paper,0
shopping_carts,0
gifts,0
cages,0
arches,0
birdhouses,0
snowballs,0
mannequins,0
abacuses,0
stopwatches,0
hourglasses,0
hay,0
medals,0
tents,0
trophies,0
beehives,0
horseshoes,0
disco_balls,0
piggy_banks,0
spider_webs,0
cds,0
manhole_covers,0
scarecrows,0
halloween_pumpkins,0
embers,0
miniatures,0
railings,0
santa_clauses,0
gargoyles,0
tattoos,0
skulls,0
skeletons,0
christmas_decorations,5
screenshots,0
billboards,0
music,0
dashboards,0
video_games,0
wings,0
feathers,0
tails,0
pebbles,0
rocks,0
textiles,0
woods,0
sand,0
liquids,0
fire,0
shadows,0
foam,0
ice,0
jalapenos,0
pickles,0
peas,0
green_beans,0
beans,0
onions,0
garlic,0
carrots,0
potatoes,0
pumpkins,0
cucumbers,0
asparagus,0
mushrooms,0
cabbages,0
tomatoes,0
arugula,0
eggplant,0
spinach,0
lettuce,0
corn,0
broccoli,0
chives,0
dill,0
beets,0
bell_peppers,0
daikons,0
lemongrass,0
taros,0
leeks,0
celery,0
artichokes,0
cauliflower,0
habanero_peppers,0
cilantro,0
kohlrabies,0
lotus_root,0
vegetables,0
candy_bars,0
marshmallows,0
caramel,0
gummy_candies,0
nachos,0
bubble_gum,0
tapioca_pearls,0
snack,0
mussels,0
oysters,0
clams,0
scallops,0
seashells,0
barnacles,0
shellfish,0
anchovies_food,0
salmon_food,0
trout_food,0
tuna_food,0
sardines_food,0
seabass_food,0
snappers_food,0
fish_food,0
squids_food,0
octopuses_food,0
crabs_food,0
sushi,0
sashimi,0
shrimp,0
seafood,0
tabbouleh,0
salads,0
spaghetti,0
pasta,0
chestnuts,0
peanuts,0
almonds,0
walnuts,0
macadamias,0
pecans,0
pistachios,0
nuts,0
ramen,0
noodles,0
meatballs,0
spare_ribs,0
meat,0
lemons,0
oranges,0
limes,0
grapefruits,0
tangerines,0
citrus_fruit,0
strawberries,0
blackberries,0
blueberries,0
raspberries,0
cranberries,0
berries,0
nectarines,0
peaches,0
grapes,0
apples,0
guava,0
melons,0
mangos,0
plums,0
cherries,0
pomegranates,0
bananas,0
durian,0
apricots,0
coconuts,0
kiwis,0
avocados,0
dates,0
figs,0
watermelons,0
pears,0
pineapples,0
papayas,0
jackfruits,0
dragon_fruits,0
persimmons,0
rambutans,0
lychees,0
mangosteens,0
passion_fruits,0
star_fruit,0
snake_fruits,0
custard_apples,0
olives,0
cherry_tomatoes,0
fruit,0
smoothies,0
milkshakes,0
shakes,0
sangrias,0
red_wines,0
sparkling_wines,0
white_wines,0
martinis,0
margaritas,0
beer,0
wine,0
cocktails,0
liquor,0
tequila,0
champagne,0
whiskey,0
alcohol,0
drinking_water,0
coffee,0
juice,0
soft_drinks,0
tea,0
bubble_tea,0
cola,0
drinks,0
brownies,0
chocolates,0
lollipops,0
candy_canes,0
candies,0
ice_cream,0
pudding,0
tiramisus,0
flans,0
biscottis,0
desserts,0
strudels,0
egg_tarts,0
cookies,0
croissants,0
gingerbread,0
pies,0
waffles,0
baklavas,0
pita_breads,0
scones,0
pastries,0
wedding_cakes,0
cheesecakes,0
birthday_cakes,0
chocolate_cakes,0
cakes,0
bread,0
pancakes,0
pretzels,0
cupcakes,0
donuts,0
muffins,0
Souffles,0
crepes,0
bagels,0
naans,0
baked_goods,0
hamburgers,0
fast_food,0
wontons,0
dumplings,0
easter_eggs,0
eggs,0
cheese,0
milk,0
dairy_products,0
rice,0
sandwiches,0
wasabi,0
spices,0
pizzas,0
coffee_beans,0
fries,0
grains,0
sausages,0
cigarettes,0
yogurts,0
wheat,0
sesame_seeds,0
tortillas,0
honey,0
oatmeal,0
kebabs,0
popcorn,0
toast,0
bacon,0
bibimbap,0
mustard,0
curries,0
soups,0
cigars,0
hams,0
tapas,0
butter,0
beef,0
risottos,0
steaks,0
bruschetta,0
chocolate_chips,0
cereal,0
acorns,0
kimchi,0
paellas,0
guacamole,0
popsicles,0
chapati,0
sauerkraut,0
coleslaw,0
quesadillas,0
caprese_salads,0
tempura,0
satays,0
bbqs,0
salami,0
hummus,0
yolks,0
couscous,0
omelets,0
samosas,0
hot_dogs,0
spring_rolls,0
casseroles,0
bento_boxes,0
shawarmas,0
tacos,0
appetizers,0
falafels,0
pepperoni,0
fondues,0
burritos,0
biryanis,0
skewers,0
french_fries,0
fried_chicken,0
scrambled_eggs,0
roast_chickens,0
fried_eggs,0
fish_roe,0
peppers,0
pork,0
jams,0
sugar_cubes,0
raisins,0
turkeys_food,0
food,0
presentations,0
flip_charts,0
presentation_materials,0
passports,0
ids,0
notes,0
