<http://pkg.samsung.com/content#AudioFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Audio file"
<http://pkg.samsung.com/content#ContentObject>,<http://www.w3.org/2000/01/rdf-schema#label>,"Content file"
<http://pkg.samsung.com/content#Email>,<http://www.w3.org/2000/01/rdf-schema#label>,"Email"
<http://pkg.samsung.com/content#FoodTag>,<http://www.w3.org/2000/01/rdf-schema#label>,"Food"
<http://pkg.samsung.com/content#FourWEvent>,<http://www.w3.org/2000/01/rdf-schema#label>,"Calendar Event"
<http://pkg.samsung.com/content#ImageFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Photo"
<http://pkg.samsung.com/content#Message>,<http://www.w3.org/2000/01/rdf-schema#label>,"Message"
<http://pkg.samsung.com/content#MusicPlayback>,<http://www.w3.org/2000/01/rdf-schema#label>,"Music"
<http://pkg.samsung.com/content#PdfFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"PDF file"
<http://pkg.samsung.com/content#PresentationFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Presentation file"
<http://pkg.samsung.com/content#SheetFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Sheet file"
<http://pkg.samsung.com/content#TextFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Text file"
<http://pkg.samsung.com/content#TextMessage>,<http://www.w3.org/2000/01/rdf-schema#label>,"Text message"
<http://pkg.samsung.com/content#VideoFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Video file"
<http://pkg.samsung.com/content#VideoPlayback>,<http://www.w3.org/2000/01/rdf-schema#label>,"Video"
<http://pkg.samsung.com/content#WebPage>,<http://www.w3.org/2000/01/rdf-schema#label>,"Web page"
<http://pkg.samsung.com/content#WordFile>,<http://www.w3.org/2000/01/rdf-schema#label>,"Word file"
<http://pkg.samsung.com/content#albumTitle>,<http://www.w3.org/2000/01/rdf-schema#label>,"album title"
<http://pkg.samsung.com/content#artist>,<http://www.w3.org/2000/01/rdf-schema#label>,"artist"
<http://pkg.samsung.com/content#creator>,<http://www.w3.org/2000/01/rdf-schema#label>,"creator"
<http://pkg.samsung.com/content#description>,<http://www.w3.org/2000/01/rdf-schema#label>,"description"
<http://pkg.samsung.com/content#name>,<http://www.w3.org/2000/01/rdf-schema#label>,"name"
<http://pkg.samsung.com/content#title>,<http://www.w3.org/2000/01/rdf-schema#label>,"title"
<http://pkg.samsung.com/content#url>,<http://www.w3.org/2000/01/rdf-schema#label>,"url"
<http://pkg.samsung.com/design#name>,<http://www.w3.org/2000/01/rdf-schema#label>,"name"
<http://pkg.samsung.com/location#FrequentlyVisitedPlace>,<http://www.w3.org/2000/01/rdf-schema#label>,"Frequently visited place"
<http://pkg.samsung.com/location#Home>,<http://www.w3.org/2000/01/rdf-schema#label>,"Home"
<http://pkg.samsung.com/location#Location>,<http://www.w3.org/2000/01/rdf-schema#label>,"Location"
<http://pkg.samsung.com/location#Place>,<http://www.w3.org/2000/01/rdf-schema#label>,"Place"
<http://pkg.samsung.com/location#WorkPlace>,<http://www.w3.org/2000/01/rdf-schema#label>,"Work place"
<http://pkg.samsung.com/location#address>,<http://www.w3.org/2000/01/rdf-schema#label>,"address"
<http://pkg.samsung.com/location#hasPart>,<http://www.w3.org/2000/01/rdf-schema#label>,"has part"
<http://pkg.samsung.com/location#name>,<http://www.w3.org/2000/01/rdf-schema#label>,"name"
